etID  | Input | Balkan Romance | Common Romanian | Output {GOLD}
0      | #ˈaː# | *#ˈa# | *#ˈa# | *#ˈa# {GOLD: #ˈa#}
1      | #ˌabellˈoːnam# | *#aellˈona# | *#aelˈunə# | *#alˈunə# {GOLD: #alˈunə#}
2      | #ˌabrˈuttum# | *#awrˈutu# | *#awɾˈutu# | *#awrˈut# {GOLD: #abrˈud#}
3      | #ˈad# | *#ˈa# | *#ˈa# | *#ˈa# {GOLD: #ˈa#}
4      | #ˌadˌakwˈaː# | *#adapˈa# | *#adəpˈa# | *#adəpˈa# {GOLD: #adəpˈa#}
5      | #ˌadˌappˈositum# | *#adapˈosetu# | *#adəpo̯ˈasetu# | *#adəpo̯ˈaset# {GOLD: #adəpˈost#}
6      | #ˌadˌastˈaː# | *#adastˈa# | *#adəstˈa# | *#adəstˈa# {GOLD: #adəstˈa#}
7      | #ˌadˌawɡˈeː# | *#adad͡ʒˈe# | *#adəd͡ʒˈe# | *#adəd͡ʒe̯ˈa# {GOLD: #adəwɡˈa#}
8      | #ˌaddˌewˈeːrum# | *#adevˈeru# | *#adevˈeɾu# | *#adevˈər# {GOLD: #adevˈər#}
9      | #ˌadˌidˈipsum# | *#adedˈesu# | *#adedˈesu# | *#adedˈes# {GOLD: #adˈins#}
10     | #ˌadiˈuːnɡe# | *#ad͡ʒˈund͡ʒe# | *#ad͡ʒˈund͡ʒe# | *#aʒˈund͡ʒe# {GOLD: #aʒˈund͡ʒe#}
11     | #ˌadiˌuːtˈaː# | *#ad͡ʒutˈa# | *#ad͡ʒutˈa# | *#aʒutˈa# {GOLD: #aʒutˈa#}
12     | #ˌadiˌuːtˈoːrium# | *#ad͡ʒutˈojru# | *#ad͡ʒutˈojɾu# | *#aʒutˈor# {GOLD: #aʒutˈor#}
13     | #ˌadlˈatera# | *#adlˈatera# | *#adlˈateɾə# | *#alˈaterə# {GOLD: #alˈəturj#}
14     | #ˌadlˈeɡe# | *#adlˈɛd͡ʒe# | *#adʎe̯ˈad͡ʒe# | *#adˈed͡ʒe# {GOLD: #alˈed͡ʒe#}
15     | #ˌadlˌenitˈaː# | *#adlentˈa# | *#adlentˈa# | *#alintˈa# {GOLD: #alintˈa#}
16     | #ˌadlˌonɡˈaː# | *#adlonɡˈa# | *#adlunɡˈa# | *#alunɡˈa# {GOLD: #alunɡˈa#}
17     | #ˌadmˌaɡˈiː# | *#admad͡ʒˈi# | *#adməd͡ʒˈi# | *#aməd͡ʒˈi# {GOLD: #amad͡ʒˈi#}
18     | #ˌadmˌiːnakiˈaː# | *#adminat͡ʃˈa# | *#adminət͡ʃˈa# | *#aminət͡ʃˈa# {GOLD: #amenint͡sˈa#}
19     | #ˌadnˌinˈaː# | *#adnenˈa# | *#adnenˈa# | *#aninˈa# {GOLD: #aninˈa#}
20     | #ˌadˌoliˈaː# | *#adoljˈa# | *#aduʎˈa# | *#adujˈa# {GOLD: #adiˈa#}
21     | #ˌaddˌormˈiː# | *#adormˈi# | *#aduɾmˈi# | *#adurmˈi# {GOLD: #adormˈi#}
22     | #ˌadplˌikˈaː# | *#adplekˈa# | *#adplekˈa# | *#aplekˈa# {GOLD: #aplekˈa#}
23     | #ˌadpˈoːne# | *#adpˈone# | *#adpˈune# | *#apˈune# {GOLD: #apˈune#}
24     | #ˈadpˈost# | *#ˈadpˈoj# | *#ˈadpˈoj# | *#ˈadpˈoj# {GOLD: #ˈapˈoj#}
25     | #ˌadprˌehˈende# | *#adprjˈɛnde# | *#adpɾjˈende# | *#aprˈinde# {GOLD: #aprˈinde#}
26     | #ˌadprˈope# | *#adprˈope# | *#adpɾo̯ˈape# | *#apro̯ˈape# {GOLD: #apro̯ˈape#}
27     | #ˌaddˈuːke# | *#adˈut͡ʃe# | *#adˈut͡ʃe# | *#adˈut͡ʃe# {GOLD: #adˈut͡ʃe#}
28     | #ˌadˌumbrˈaː# | *#adumbrˈa# | *#adumbɾˈa# | *#adumbrˈa# {GOLD: #adumbrˈi#}
29     | #ˌadˌunkˈaː# | *#adunkˈa# | *#adunkˈa# | *#adunkˈa# {GOLD: #adɨnkˈa#}
30     | #ˌadˈunkum# | *#adˈunku# | *#adˈunku# | *#adˈunk# {GOLD: #adˈɨnk#}
31     | #ˈaːeːr# | *#ˈaer# | *#ˈaeɾ# | *#ˈaer# {GOLD: #ˈaer#}
32     | #ˌae̯rˈɑmen# | *#ae̯rˈame# | *#ae̯ɾˈəme# | *#ae̯rˈəme# {GOLD: #arˈamə#}
33     | #ˌafflˈaː# | *#aflˈa# | *#aflˈa# | *#aflˈa# {GOLD: #aflˈa#}
34     | #ˌaɡɡˈestum# | *#ad͡ʒˈɛstu# | *#ad͡ʒˈestu# | *#ad͡ʒˈest# {GOLD: #ad͡ʒˈest#}
35     | #ˈaɡilem# | *#ˈad͡ʒele# | *#ˈad͡ʒeɾe# | *#ˈad͡ʒere# {GOLD: #ˈad͡ʒer#}
